n,Average Runtime
20,0.00016405098140239715
21,0.00017498042434453963
22,0.0001860402524471283
23,0.00019660070538520812
24,0.00020942464470863342
25,0.00022375695407390596
26,0.00023063719272613524
27,0.00023990757763385772
28,0.0003337843343615532
29,0.0002608170732855797
