n,Average Runtime
4000,0.1012311864644289
4011,0.11604232490062713
4022,0.11226401161402463
4033,0.09395442027598619
4044,0.1294519269838929
4055,0.10650494638830424
4066,0.08212195299565792
4077,0.097113873437047
4088,0.06999984737485647
4099,0.1308879556134343
4110,0.11965357791632414
4121,0.10507026556879281
4132,0.09467801693826913
4143,0.10345596056431532
4154,0.10151855200529099
4165,0.10126249771565199
4176,0.10121761057525873
4187,0.10643692035228014
4198,0.11440890785306693
4209,0.12779430374503137
4220,0.13229583855718374
4231,0.1199723133817315
4242,0.11680859476327896
4253,0.10878705829381943
4264,0.1007143722847104
4275,0.07639882024377584
4286,0.11124557107686997
4297,0.12126866430044174
4308,0.11651035938411951
4319,0.09781235978007316
4330,0.0976473182439804
4341,0.09787966422736645
4352,0.09824802912771702
4363,0.07578955013304949
4374,0.07543042805045844
4385,0.0763514492660761
4396,0.0770575838163495
4407,0.10061166789382696
4418,0.09889476858079434
4429,0.10052890181541443
4440,0.09886582363396883
4451,0.10008140951395035
4462,0.10022645890712738
4473,0.07743042651563883
4484,0.08684610482305288
4495,0.07744389306753874
4506,0.10094921626150608
4517,0.07823817133903503
4528,0.07729175370186567
4539,0.10180353969335557
4550,0.08870031759142875
4561,0.07989311031997204
4572,0.0925611786544323
4583,0.1022360734641552
4594,0.10947659611701965
4605,0.10312294997274876
4616,0.10235788132995367
4627,0.10313486661761999
4638,0.08113637268543243
4649,0.10338209439069032
4660,0.10349703468382358
4671,0.10322736296802759
4682,0.10376763120293617
4693,0.08117404393851757
4704,0.08112010210752488
4715,0.08212278205901384
4726,0.10529388729482889
4737,0.10580683164298535
4748,0.08238045629113913
4759,0.08282505739480257
4770,0.0837729275226593
4781,0.08366413246840239
4792,0.08232205100357533
4803,0.08398410435765982
4814,0.08322786130011081
4825,0.10407619625329971
4836,0.1064831007272005
4847,0.09555784408003092
4858,0.10670811329036951
4869,0.0889014108106494
4880,0.08444360103458166
4891,0.10719744861125946
4902,0.08526062872260809
4913,0.08513172753155232
4924,0.08439793791621923
4935,0.10798026993870735
4946,0.08520414792001248
4957,0.10835674051195383
4968,0.08629444912075997
4979,0.10052547343075276
4990,0.11276754345744848
5001,0.09423398338258267
5012,0.10993635468184948
5023,0.08700622823089361
5034,0.09703147169202567
5045,0.11125176399946213
5056,0.08843266982585192
5067,0.11078642029315233
5078,0.08874577395617962
5089,0.09769879672676325
5100,0.09548401813954115
5111,0.13028929848223925
5122,0.12666762080043553
5133,0.11182499788701535
5144,0.09622890967875719
5155,0.0895308054983616
5166,0.0901432428508997
5177,0.11260115001350642
5188,0.11129104159772396
5199,0.0901889467611909
5210,0.09040917307138444
5221,0.0903902605175972
5232,0.11364316064864396
5243,0.09115814678370952
5254,0.11444753613322974
5265,0.09662854615598918
5276,0.09411009345203639
5287,0.11241144202649593
5298,0.10475431904196739
5309,0.11524377632886171
5320,0.09285290017724038
5331,0.115898940525949
5342,0.11566961482167244
5353,0.11586964074522257
5364,0.09266034364700318
5375,0.11568436063826085
5386,0.10040395613759756
5397,0.09852396324276924
5408,0.10118283443152905
5419,0.09881205055862666
5430,0.10047013480216264
5441,0.09483449403196573
5452,0.09608775451779365
