n,Average Runtime
2000,3.501530736684799e-05
2001,3.601554781198502e-05
2002,3.765635192394256e-05
2003,3.8489885628223416e-05
2004,3.7945620715618136e-05
2005,3.685988485813141e-05
2006,3.737900406122208e-05
2007,3.860779106616974e-05
2008,4.18003648519516e-05
2009,3.874599933624267e-05
2010,3.6757625639438626e-05
2011,3.831814974546433e-05
2012,3.7443265318870546e-05
2013,3.80396842956543e-05
2014,3.8593076169490814e-05
2015,3.775227814912796e-05
2016,3.714803606271744e-05
2017,3.9207004010677335e-05
2018,3.9714016020298e-05
2019,4.015769809484482e-05
2020,3.689676523208618e-05
2021,3.742408007383347e-05
2022,3.929082304239273e-05
2023,3.9801932871341705e-05
2024,4.048850387334823e-05
2025,3.7031807005405425e-05
2026,3.6701932549476625e-05
2027,3.726724535226822e-05
2028,3.9132311940193176e-05
2029,3.876425325870514e-05
2030,3.722645342350006e-05
2031,4.5773945748806e-05
2032,3.806818276643753e-05
2033,3.853980451822281e-05
2034,3.923065960407257e-05
2035,3.648754209280014e-05
2036,3.922190517187118e-05
2037,3.810618072748184e-05
2038,3.854688256978989e-05
2039,4.01252880692482e-05
2040,3.783144056797027e-05
2041,3.807768225669861e-05
2042,3.8670748472213746e-05
2043,3.93994152545929e-05
2044,4.012249410152435e-05
2045,3.719199448823929e-05
2046,3.798250108957291e-05
2047,3.941133618354797e-05
2048,4.092436283826828e-05
2049,4.0017813444137576e-05
2050,3.629513084888458e-05
2051,3.765225410461426e-05
2052,3.821719437837601e-05
2053,3.8844160735607146e-05
2054,3.926120698451996e-05
2055,3.7696771323680876e-05
2056,3.883950412273407e-05
2057,3.937240689992905e-05
2058,3.8753822445869444e-05
2059,4.0044821798801425e-05
2060,3.9725750684738156e-05
2061,3.7456117570400235e-05
2062,3.8088485598564145e-05
2063,3.878939896821976e-05
2064,3.924053162336349e-05
2065,3.728363662958145e-05
2066,3.8051046431064606e-05
2067,3.8856826722621915e-05
2068,4.013124853372574e-05
2069,4.130825400352478e-05
2070,3.859009593725205e-05
2071,3.813225775957107e-05
2072,3.984197974205017e-05
2073,4.002191126346588e-05
2074,4.0699727833271027e-05
2075,3.766492009162903e-05
2076,3.8378685712814334e-05
