n,Average Runtime
5,0.029197197
5,0.03012207
7,0.038392311
16,0.104212032
34,0.263896795
73,0.762391023
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Greedy,
n,Average Runtime
5,1.01E-05
5,1.41E-05
7,1.38E-05
16,2.65E-05
34,1.34E-05
73,1.61E-05
