n,Average Runtime
2000,0.02130983489786571
2001,1.539557387513213e-05
2002,3.099642206856323e-05
2003,0.0001821809575225597
2004,2.4427643881885786e-05
2005,1.631930830763295e-05
2006,2.771203297542435e-05
2007,2.401709524533224e-05
2008,1.4882388079273667e-05
2009,2.3606546608601064e-05
2010,1.5190299556833154e-05
2011,2.3709183767817166e-05
2012,2.4119732404548343e-05
2013,2.3709183767772758e-05
2014,2.42223695635424e-05
2015,3.458872263948365e-05
2016,2.370918376763953e-05
2017,2.401709524533224e-05
2018,7.400139175994802e-05
2019,1.672985694431972e-05
2020,1.7961502854291213e-05
2021,2.401709524515461e-05
2022,3.540981991294601e-05
2023,2.42223695635424e-05
2024,2.53513783143422e-05
2025,2.2682812176011426e-05
2026,2.8122581611889075e-05
2027,2.5659289791946095e-05
2028,4.310760685051207e-05
2029,2.4222369563453583e-05
2030,0.00014112609385552588
2031,3.510190843520888e-05
2032,2.3503909449384963e-05
2033,4.1260137985421606e-05
2034,5.6450437542387985e-05
2035,2.678829854243503e-05
2036,2.6480387065319633e-05
2037,2.3503909449384963e-05
2038,1.7243042740222593e-05
2039,2.760939581616384e-05
2040,3.9515306279547247e-05
2041,2.545401547360271e-05
2042,2.5556652632641174e-05
2043,1.683249410353582e-05
2044,2.8225218771105176e-05
2045,3.469135979869975e-05
2046,2.5043466837004757e-05
2047,5.3473959926186866e-05
2048,1.5600848193386695e-05
2049,1.6114033989289568e-05
2050,2.4017095245376653e-05
2051,4.7418367535811964e-05
2052,2.6377749906192348e-05
2053,2.4325006722669684e-05
2054,2.535137831474188e-05
2055,1.6832494103447004e-05
2056,2.5659289791946095e-05
2057,1.6524582626153973e-05
2058,2.771203297546876e-05
2059,1.9398423082694905e-05
2060,1.7448317058654796e-05
2061,2.5454015473869162e-05
2062,2.5967201269239126e-05
2063,1.621667114841685e-05
2064,1.5087662397661461e-05
2065,2.4017095245199017e-05
2066,2.9251590362733283e-05
2067,1.6011396830073467e-05
2068,2.524874115543696e-05
2069,1.6627219785192438e-05
2070,1.8372051491066798e-05
2071,7.451457755554003e-05
2072,2.3401272290168862e-05
2073,3.6128280026925805e-05
2074,1.6319308307544134e-05
2075,1.631930830772177e-05
2076,3.2228067978579136e-05
2077,3.561509423120057e-05
2078,1.5292936716093664e-05
2079,1.8987874446096953e-05
2080,4.5365624352200484e-05
2081,4.495507571551371e-05
2082,2.381182092685563e-05
2083,4.167068662210838e-05
2084,2.227226353950229e-05
2085,2.165644058438332e-05
2086,3.592300570876006e-05
2087,1.621667114850567e-05
2088,1.6524582626065153e-05
2089,1.5600848193475515e-05
2090,1.6627219785281255e-05
2091,2.545401547360271e-05
2092,1.991160887850896e-05
2093,3.233070513797287e-05
2094,1.4779750920190794e-05
2095,2.063006899284403e-05
2096,2.7712032975202306e-05
2097,2.6788298542701484e-05
2098,1.7961502854202393e-05
2099,2.453028104101307e-05
2100,2.134852910691265e-05
2101,1.5908759671035e-05
2102,3.0893784909569175e-05
2103,1.61140339894672e-05
2104,2.370918376772835e-05
2105,1.4882388079229258e-05
2106,1.5190299556788744e-05
2107,1.621667114850567e-05
2108,2.2374900698540755e-05
2109,2.5556652632907627e-05
2110,2.6069838428632864e-05
2111,2.494082967769984e-05
2112,2.4632918199962715e-05
2113,2.606983842836641e-05
2114,2.719884717956589e-05
2115,2.5761926951162196e-05
2116,1.631930830763295e-05
2117,2.4017095245287833e-05
2118,2.9867413317763435e-05
2119,1.6011396830073467e-05
2120,2.5556652632729994e-05
2121,2.7404121497820455e-05
2122,2.3914458086071732e-05
2123,4.382606696449187e-05
2124,2.5659289791946095e-05
2125,1.672985694431972e-05
2126,1.539557387513213e-05
2127,1.549821103434823e-05
2128,1.6832494103358188e-05
2129,2.565928979167964e-05
2130,3.07911477504419e-05
2131,2.617247558767133e-05
2132,2.422236956363122e-05
2133,2.1245891947518913e-05
2134,2.15538034250784e-05
2135,8.436774483575605e-05
2136,4.382606696449187e-05
2137,1.703776842179039e-05
2138,2.4735555359445273e-05
2139,4.977902219653885e-05
2140,1.693513126257429e-05
2141,1.6421945466671416e-05
2142,1.6421945466849052e-05
2143,2.2477537857579223e-05
2144,1.8577325809232548e-05
2145,2.6275112746620977e-05
2146,1.508766239775028e-05
2147,2.3401272290168862e-05
2148,1.7858865695252744e-05
2149,2.70962100199057e-05
2150,2.432500672284732e-05
2151,2.6685661383485382e-05
2152,1.498502523844536e-05
2153,2.4017095245287833e-05
2154,2.4119732404148665e-05
2155,2.4838192518572554e-05
2156,2.4119732404326298e-05
2157,1.5703485352780432e-05
2158,1.6011396830162283e-05
2159,4.885528776377157e-05
2160,2.5864564110378298e-05
2161,2.258017501688414e-05
2162,1.4779750920190794e-05
2163,2.648038706549727e-05
2164,2.5146103996043222e-05
2165,2.381182092694445e-05
2166,1.693513126248547e-05
2167,1.7653591376731725e-05
2168,1.5908759670768546e-05
2169,1.621667114841685e-05
2170,2.3401272290168862e-05
2171,2.442764388179697e-05
2172,4.197859809957904e-05
2173,1.9295785923478804e-05
2174,1.6935131262663106e-05
2175,2.6480387065141996e-05
2176,2.565928979167964e-05
2177,5.1113305265371165e-05
2178,1.6421945466849052e-05
2179,3.3357076729689794e-05
2180,1.4882388079318077e-05
2181,1.6729856944230903e-05
2182,1.6114033989378385e-05
2183,2.2785449335227527e-05
2184,3.325443957047369e-05
2185,1.5703485352691616e-05
2186,1.6319308307455314e-05
2187,1.631930830772177e-05
2188,2.545401547360271e-05
2189,2.596720126950558e-05
2190,2.340127229025768e-05
2191,1.5703485352780432e-05
2192,1.6832494103358188e-05
2193,2.7814670134418407e-05
2194,1.61140339894672e-05
2195,3.335707672933452e-05
2196,2.740412149773164e-05
2197,1.4985025238356542e-05
2198,2.873840456691923e-05
2199,2.073270615214895e-05
