n,Average Runtime
2000,1.4369202283504023e-05
2001,1.3342830691875918e-05
2002,1.4163927964894186e-05
2003,9.647892962050265e-06
2004,1.2829644895973048e-05
2005,8.005698414947915e-06
2006,2.7814670134773677e-05
2007,8.518884210850785e-06
2008,2.0014246037902693e-05
2009,1.1597998985735103e-05
2010,2.2682812176100242e-05
2011,1.2316459100425447e-05
2012,1.3445467851269655e-05
2013,1.272700773657931e-05
2014,1.180327330434494e-05
2015,1.3445467850914383e-05
2016,1.2727007736934581e-05
2017,7.389875459828943e-06
2018,1.1700636144951205e-05
2019,7.697786937477246e-06
2020,8.005698414947915e-06
2021,1.2008547622777143e-05
2022,1.2111184781460339e-05
2023,6.979326823319809e-06
2024,1.180327330434494e-05
2025,1.354810501030812e-05
2026,9.339981484224325e-06
2027,1.8064140013329678e-05
2028,1.2316459099714905e-05
2029,1.2316459100425447e-05
2030,7.389875459828943e-06
2031,7.389875460184214e-06
2032,7.800424096693347e-06
2033,7.389875460184214e-06
2034,7.492512619045044e-06
2035,1.1392724667658172e-05
2036,1.3137556373443715e-05
2037,1.3445467851624926e-05
2038,1.2008547622777143e-05
2039,1.180327330398967e-05
2040,8.724158529460624e-06
2041,1.4779750920190794e-05
2042,6.979326823319809e-06
2043,1.036635307585243e-05
2044,1.2111184781637973e-05
2045,1.7243042739778504e-05
2046,7.389875460006579e-06
2047,7.389875460184214e-06
2048,1.1700636145306476e-05
2049,8.10833557398638e-06
2050,1.1700636144773568e-05
2051,7.287238300790477e-06
2052,8.108335574519288e-06
2053,1.2521733418680015e-05
2054,1.190591046320577e-05
2055,3.848893468809678e-05
2056,7.595149778616417e-06
2057,1.2727007736756946e-05
2058,1.2624370577896116e-05
2059,1.0058441598204126e-05
2060,1.2419096259108642e-05
2061,1.3342830691520647e-05
2062,9.339981484046688e-06
2063,1.0058441598204126e-05
2064,1.262437057771848e-05
2065,1.1597998985557467e-05
2066,1.2829644896328319e-05
2067,1.3445467850914383e-05
2068,1.2316459100425447e-05
2069,6.876689664281343e-06
2070,8.621521370066887e-06
2071,1.3342830691698281e-05
2072,7.595149778616417e-06
2073,1.693513126248547e-05
2074,7.800424096870984e-06
2075,1.2829644895795411e-05
2076,1.1803273304877848e-05
2077,1.2008547622599508e-05
2078,1.1495361826519002e-05
2079,1.1700636144773568e-05
2080,1.2316459099892541e-05
2081,1.0776901712716835e-05
2082,3.766783741507851e-05
2083,1.2111184781993244e-05
2084,7.081963982713546e-06
2085,1.3342830691698281e-05
2086,8.00569841512555e-06
2087,8.005698414947915e-06
2088,1.2316459100247812e-05
2089,1.3240193532659816e-05
2090,1.159799898626801e-05
2091,1.324019353248218e-05
2092,1.4061290806033356e-05
2093,1.2727007737112217e-05
2094,8.313609892596219e-06
2095,1.2008547622421872e-05
2096,1.2316459099537268e-05
2097,8.313609892596219e-06
2098,2.5043466837004757e-05
2099,7.595149778616417e-06
